,Unnamed: 0,name,text
0,0,Akumaki,"['confect', 'akumaki', 'akumaki', 'あくまき', '灰汁巻き', 'style', 'confect', 'wagashi', 'made', 'kagoshima', 'miyazaki', 'kumamoto', 'prefectur', 'boy', 'festiv', 'may', 'call', 'wide', 'chimaki', 'japan', 'come', 'chines', 'zongzi', 'eaten', 'doubl', 'festiv', 'made', 'edit', 'skin', 'bamboo', 'soak', 'lye', 'overnight', 'use', 'wrap', 'glutin', 'rice', 'soak', 'way', 'slightli', 'bitter', 'typic', 'eaten', 'blend', 'sugar', 'toast', 'soybean', 'flour', 'kinako', 'littl', 'salt', 'soak', 'honey', 'unusu', 'flavor', 'consid', 'acquir', 'tast', 'said', 'akumaki', 'began', 'long', 'term', 'provis', 'samurai', 'battl', 'sekigahara', '1600', 'invas', 'korea', '1592', '1598', 'also', 'saigō', 'takamori', '1821', '1877', 'took', 'akumaki', 'nonperish', 'commod', 'battlefield', 'satsuma', 'rebellion', '1877', 'akumaki', 'becam', 'popular', 'north', 'miyazaki', 'prefectur', 'kumamoto', 'prefectur', 'due', 'rebellion', 'kept', 'one', 'week', 'normal', 'temperatur', 'two', 'week', 'refriger', 'also', 'frozen', 'vacuum', 'pack', 'akumaki', 'found', 'mani', 'place', 'souvenir', 'usual', 'homemad', 'confect', 'recent', 'sinc', 'open', 'kyushu', 'shinkansen', 'train', 'line', 'akumaki', 'attract', 'consider', 'attent', 'slow', 'food', 'akumaki', 'sold', 'hotel', 'kagoshima', 'roadsid', 'station', 'michi', 'eki', 'internet', 'supermarket', 'throughout', 'kagoshima', 'prefectur']"
1,1,Amanatto,"['tradit', 'confectioneri', 'amanattōpeanut', 'amanattōtypeconfectioneryplac', 'originjapanregion', 'stateeast', 'asiacr', 'byhosoda', 'yasubeimain', 'ingredientsadzuki', 'bean', 'sugar', 'sugar', 'syrup', 'amanattō', '甘納豆', 'tradit', 'confectioneri', 'made', 'azuki', 'bean', 'cover', 'refin', 'sugar', 'simmer', 'sugar', 'syrup', 'dri', 'develop', 'hosoda', 'yasubei', 'bunkyū', 'year', '1861', '1863', 'edo', 'period', 'open', 'wagashi', 'store', 'tokyo', 'name', 'childhood', 'name', 'eitaro', 'store', 'continu', 'oper', 'amanattō', 'origin', 'call', 'amananattō', '甘名納糖', 'name', 'abbrevi', 'amanattō', 'world', 'war', 'resembl', 'name', 'ferment', 'bean', 'dish', 'nattō', 'coincident', 'citat', 'need', 'hokkaidō', 'amanattō', 'use', 'cook', 'sekihan', 'reason', 'unlik', 'area', 'east', 'asia', 'sekihan', 'hokkaidō', 'littl', 'sweet', 'citat', 'need']"
2,2,Arare,"['cracker', 'ararehina', 'arar', 'varieti', 'araretyperic', 'crackerplac', 'originjapanmain', 'ingredientsglutin', 'rice', 'soy', 'saucevariationsol', 'hana', 'media', 'ararearar', 'あられ', 'name', 'graupel', 'snow', 'pellet', 'type', 'bite', 'size', 'cracker', 'made', 'glutin', 'rice', 'flavor', 'soy', 'sauc', 'size', 'shape', 'distinguish', 'arar', 'senbei', 'name', 'chosen', 'evok', 'hailston', 'smaller', 'arar', 'similar', 'size', 'shape', 'hailston', 'though', 'other', 'vari', 'significantli', 'size', 'flavor', 'shape', 'arar', 'also', 'call', 'kakimochi', 'mochi', 'crunch', 'hawaii', 'introduc', '1900', 'content', 'type', 'cultur', 'see', 'also', 'refer', 'type', 'edit', 'mani', 'differ', 'size', 'color', 'shape', 'arar', 'sweet', 'other', 'savori', 'one', 'call', 'norimaki', 'arar', 'nori', 'mean', 'edibl', 'seawe', 'form', 'dri', 'sheet', 'maki', 'mean', 'roll', 'shape', 'wrap', 'dri', 'nori', 'seawe', 'anoth', 'kaki', 'tane', '柿の種', 'take', 'name', 'resembl', 'persimmon', 'seed', 'kaki', 'persimmon', 'kaki', 'tane', 'often', 'sold', 'peanut', 'combin', 'call', 'kakipī', 'かきピー', 'popular', 'snack', 'accompani', 'beer', 'cultur', 'edit', 'typic', 'consum', 'arar', 'celebr', 'hinamatsuri', 'doll', 'festiv', 'held', 'march', 'arar', 'made', 'festiv', 'multicolor', 'shade', 'includ', 'pink', 'yellow', 'white', 'brown', 'light', 'green', 'regular', 'arar', 'bought', 'throughout', 'year', 'color', 'one', 'avail', 'around', 'januari', 'march', 'anticip', 'hinamatsuri', 'arar', 'brought', 'immigr', 'came', 'plantat', 'worker', 'earli', '1900', 'hawaii', 'snack', 'often', 'call', 'kakimochi', 'fri', 'rice', 'past', 'hawaii', 'popular', 'mix', 'arar', 'popcorn', 'peopl', 'mix', 'furikak', 'popular', 'hurrican', 'popcorn', 'includ', 'arar', 'furikak', 'popcorn']"
3,3,Beika,"['dri', 'confectioneri', 'made', 'rice', 'beikasenbei', 'rice', 'crackerstypehigashiplac', 'originjapanmain', 'ingredientsric', 'wheat', 'flour', 'barley', 'flour', 'variationssenbei', 'arar', 'kaki', 'tane', 'okaki', 'media', 'beika', 'beika', 'describ', 'higashi', 'dri', 'confectioneri', 'made', 'rice', 'major', 'type', 'includ', 'senbei', 'okaki', 'arar', 'kaki', 'tane', 'type', 'senbei', 'may', 'use', 'wheat', 'flour', 'barley', 'flour', 'instead', 'rice', 'flour', 'exampl', 'tansan', 'senbei', 'nanbu', 'senbei', 'kawara', 'senbei']"
4,4,Botamochi,"['confect', 'botamochitypeconfectioneri', 'rice', 'cakeplac', 'originjapanmain', 'ingredientsglutin', 'rice', 'rice', 'sweet', 'red', 'bean', 'pastevariationsohagi', 'media', 'botamochi', 'botamochi', 'ぼたもち', '牡丹餅', 'wagashi', 'confect', 'made', 'glutin', 'rice', 'regular', 'rice', 'ratio', 'glutin', 'rice', 'sweet', 'azuki', 'past', 'red', 'bean', 'past', 'made', 'soak', 'rice', 'approxim', 'hour', 'rice', 'cook', 'thick', 'azuki', 'past', 'hand', 'pack', 'around', 'pre', 'form', 'ball', 'rice', 'botamochi', 'eaten', 'sacr', 'food', 'offer', 'week', 'spring', 'autumn', 'higan', 'japan', 'anoth', 'name', 'kind', 'confect', 'ohagi', 'おはぎ', 'origin', 'definit', 'argument', 'peopl', 'say', 'use', 'slightli', 'differ', 'textur', 'azuki', 'past', 'otherwis', 'almost', 'ident', 'made', 'autumn', 'recip', 'variat', 'case', 'call', 'coat', 'soy', 'flour', 'appli', 'ohagi', 'azuki', 'past', 'botamochi', 'koshian', 'type', 'smooth', 'fine', 'grain', 'red', 'bean', 'past', 'type', 'two', 'differ', 'name', 'peopl', 'say', 'deriv', 'botan', 'peoni', 'bloom', 'spring', 'hagi', 'bush', 'clover', 'lespedeza', 'bloom', 'autumn', 'botamochi', 'modern', 'name', 'dish', 'kaimochi', 'かいもち', 'mention', 'heian', 'period', 'text', 'uji', 'shūi', 'monogatari', '宇治拾遺物語', 'citat', 'need', 'proverb', 'tana', 'kara', 'botamochi', '棚からぼたもち', 'liter', 'botamochi', 'fall', 'shelf', 'mean', 'receiv', 'windfal', 'lucki', 'break', 'term', 'also', 'use', 'specif', 'pattern', 'bizen', 'ware', 'two', 'three', 'five', 'round', 'mark', 'mark', 'small', 'ball', 'rice', 'cake', 'left', 'plate']"
5,5,Daifuku,"['confect', 'use', 'see', 'daifuku', 'disambigu', 'daifukualtern', 'namesdaifukumochi', 'kōhaku', 'type', 'place', 'originjapanregion', 'stateeast', 'asiamain', 'ingredientsglutin', 'rice', 'sweet', 'fill', 'usual', 'red', 'bean', 'past', 'variationsyomogi', 'daifuku', 'ichigo', 'daifuku', 'yukimi', 'daifuku', 'cookbook', 'daifuku', 'media', 'daifuku', 'daifukumochi', '大福餅', 'daifuku', 'liter', 'great', 'luck', 'wagashi', 'type', 'confect', 'consist', 'small', 'round', 'mochi', 'glutin', 'rice', 'cake', 'stuf', 'sweet', 'fill', 'commonli', 'anko', 'sweeten', 'red', 'bean', 'past', 'made', 'azuki', 'bean', 'daifuku', 'popular', 'wagashi', 'japan', 'often', 'serv', 'green', 'tea', 'daifuku', 'plain', 'type', 'daifuku', 'come', 'mani', 'varieti', 'common', 'white', 'pale', 'green', 'pale', 'pink', 'color', 'mochi', 'fill', 'anko', 'daifuku', 'approxim', 'diamet', 'nearli', 'daifuku', 'cover', 'fine', 'layer', 'rice', 'flour', 'rice', 'starch', 'corn', 'starch', 'potato', 'starch', 'keep', 'stick', 'finger', 'though', 'mochitsuki', 'tradit', 'method', 'make', 'mochi', 'daifuku', 'also', 'cook', 'microwav', 'content', 'histori', 'varieti', 'see', 'also', 'refer', 'extern', 'link', 'histori', 'edit', 'daifuku', 'origin', 'call', 'habutai', 'mochi', '腹太餅', 'belli', 'thick', 'rice', 'cake', 'fill', 'natur', 'later', 'name', 'chang', 'daifuku', 'mochi', '大腹餅', 'big', 'belli', 'rice', 'cake', 'sinc', 'pronunci', 'fuku', 'belli', 'fuku', 'luck', 'name', 'chang', 'daifuku', 'mochi', '大福餅', 'great', 'luck', 'rice', 'cake', 'bringer', 'good', 'luck', 'end', '18th', 'centuri', 'daifuku', 'gain', 'popular', 'peopl', 'began', 'eat', 'toast', 'also', 'use', 'gift', 'ceremoni', 'occas', 'varieti', 'edit', 'mame', 'daifuku', 'yomogi', 'daifuku', 'ichigo', 'daifuku', 'version', 'contain', 'whole', 'piec', 'fruit', 'mixtur', 'fruit', 'anko', 'crush', 'melon', 'past', 'cover', 'confection', 'sugar', 'cocoa', 'powder', 'citat', 'need', 'yomogi', 'daifuku', '蓬大福', 'version', 'made', 'kusa', 'mochi', 'mochi', 'flavor', 'mugwort', 'mame', 'daifuku', '豆大福', 'version', 'azuki', 'bean', 'soybean', 'mix', 'mochi', 'azuki', 'sweetfil', 'shio', 'daifuku', '塩大福', 'version', 'contain', 'unsweeten', 'anko', 'fill', 'mild', 'salti', 'tast', 'awa', 'daifuku', 'あわ大福', 'version', 'made', 'awa', 'mochi', 'mochi', 'mix', 'foxtail', 'millet', 'ichigo', 'daifuku', 'イチゴ大福', 'variat', 'contain', 'strawberri', 'sweet', 'fill', 'commonli', 'anko', 'insid', 'small', 'round', 'mochi', 'cream', 'sometim', 'use', 'sweet', 'fill', 'contain', 'strawberri', 'usual', 'eaten', 'springtim', 'invent', '1980', 'mani', 'patisseri', 'claim', 'invent', 'confect', 'exact', 'origin', 'vagu', 'ume', 'daifuku', '梅大福', 'version', 'contain', 'sweeten', 'apricot', 'instead', 'azuki', 'sweetfil', 'coffe', 'daifuku', 'コーヒー大福', 'version', 'contain', 'coffe', 'flavor', 'sweetfil', 'mont', 'blanc', 'daifuku', 'モンブラン大福', 'version', 'contain', 'puré', 'sweeten', 'chestnut', 'mont', 'blanc', 'cream', 'instead', 'azuki', 'sweetfil', 'purin', 'daifuku', 'プリン大福', 'version', 'contain', 'crème', 'caramel', 'プリン', 'instead', 'azuki', 'sweetfil', 'mochi', 'ice', 'cream', 'もちアイス', 'version', 'contain', 'ice', 'cream', 'instead', 'azuki', 'sweetfil']"
6,6,Dango,"['rice', 'flour', 'dumpl', 'use', 'see', 'dango', 'disambigu', 'dangomitarashi', 'dangotypesweet', 'dumplingplac', 'originjapanmain', 'ingredientsric', 'flour', 'media', 'dango', 'yaki', 'dango', 'prepar', 'dango', 'dumpl', 'made', 'rice', 'flour', 'mix', 'uruchi', 'rice', 'flour', 'glutin', 'rice', 'flour', 'differ', 'method', 'make', 'mochi', 'made', 'steam', 'glutin', 'rice', 'dango', 'usual', 'finish', 'round', 'shape', 'three', 'five', 'dango', 'often', 'serv', 'skewer', 'skewer', 'dango', 'piec', 'call', 'kushi', 'dango', '串団子', 'gener', 'dango', 'come', 'categori', 'wagashi', 'often', 'serv', 'green', 'tea', 'eaten', 'year', 'round', 'differ', 'varieti', 'tradit', 'eaten', 'given', 'season', 'content', 'type', 'popular', 'dango', 'variou', 'dango', 'deriv', 'term', 'vietnam', 'unicod', 'charact', 'see', 'also', 'refer', 'type', 'edit', 'mani', 'differ', 'varieti', 'dango', 'usual', 'name', 'variou', 'season', 'serv', 'popular', 'dango', 'edit', 'anko', 'dango', 'あんこ団子', 'commonli', 'cover', 'sweeten', 'red', 'bean', 'past', 'ingredi', 'azuki', 'use', 'rare', 'occas', 'top', 'anko', 'includ', 'zunda', 'ずんだ', 'made', 'edamam', 'past', 'kurumi', 'walnut', 'past', 'cha', 'dango', '茶団子', 'green', 'tea', 'matcha', 'flavor', 'dango', 'shoyu', 'dango', '醤油だんご', 'kind', 'bake', 'dango', 'yaki', 'dango', '焼き団子', 'season', 'soy', 'sauc', 'furthermor', 'one', 'wrap', 'nori', 'call', 'isob', 'dango', '磯辺団子', 'goma', 'dango', 'ごま団子', 'cover', 'sesam', 'past', 'sweet', 'salti', 'hanami', 'dango', '花見だんご', 'sanshoku', 'dango', '三色団子', 'eat', 'hanami', 'three', 'color', 'pink', 'green', 'white', 'tradit', 'made', 'sakura', 'view', 'season', 'henc', 'name', 'hanami', 'mean', 'flower', 'view', 'hana', 'mean', 'flower', 'mean', 'see', 'order', 'three', 'color', 'dumpl', 'said', 'repres', 'order', 'cherri', 'blossom', 'bloom', 'pink', 'repres', 'cherri', 'bud', 'white', 'repres', 'cherri', 'blossom', 'full', 'bloom', 'green', 'repres', 'leafi', 'cherri', 'blossom', 'fallen', 'kibi', 'dango', 'きび団子', 'made', 'millet', 'flour', 'varieti', 'promin', 'featur', 'tale', 'momotarō', 'folklor', 'hero', 'offer', 'round', 'ball', 'skewer', 'three', 'talk', 'anim', 'exchang', 'aid', 'fight', 'demon', 'kinako', 'dango', 'きなこ団子', 'made', 'toast', 'soy', 'flour', 'kusa', 'dango', 'yomogi', 'dango', '草団子', 'よもぎ団子', 'mix', 'leav', 'yomogi', 'like', 'kusa', 'mochi', 'often', 'cover', 'anko', 'mitarashi', 'みたらし団子', 'cover', 'syrup', 'made', 'shouyu', 'soy', 'sauc', 'sugar', 'starch', 'sasa', 'dango', '笹団子', 'produc', 'eaten', 'primarili', 'niigata', 'prefectur', 'sasa', 'dango', 'two', 'varieti', 'onna', 'dango', 'otoko', 'dango', 'onna', 'dango', 'liter', 'femal', 'dango', 'fill', 'anko', 'otoko', 'dango', 'liter', 'male', 'dango', 'fill', 'kinpira', 'dango', 'wrap', 'leav', 'sasa', 'purpos', 'preserv', 'shiratama', 'dango', '白玉だんご', 'eaten', 'anmitsu', 'mitsumam', 'tsukimi', 'dango', '月見だんご', 'white', 'dango', 'eat', 'tsukimi', 'tradit', 'made', 'autumn', 'full', 'moon', 'mid', 'autumn', 'festiv', 'variou', 'dango', 'edit', 'botchan', 'dango', '坊っちゃん団子', 'three', 'color', 'one', 'color', 'red', 'bean', 'second', 'egg', 'third', 'green', 'tea', 'botchan', 'dango', 'product', 'name', 'ehim', 'miyagegashi', 'name', 'natsum', 'sōseki', 'novel', 'botchan', 'chichi', 'dango', '乳団子', 'slightli', 'sweet', 'light', 'treat', 'usual', 'eaten', 'dessert', 'denpun', 'dango', 'でんぷん団子', 'hokkaido', 'made', 'potato', 'flour', 'bake', 'sweet', 'boil', 'bean', 'kuri', 'dango', '栗だんご', 'coat', 'chestnut', 'past', 'niku', 'dango', '肉団子', 'type', 'meatbal', 'chicken', 'niku', 'dango', 'call', 'tsukun', 'serv', 'skewer', 'hanami', 'dango', 'kusa', 'dango', 'anko', 'dango', 'goma', 'dango', 'chichi', 'dango', 'tsukimi', 'dango', 'deriv', 'term', 'edit', 'common', 'proverb', 'hana', 'yori', 'dango', '花より団子', 'liter', 'dango', 'rather', 'flower', 'refer', 'prefer', 'practic', 'thing', 'rather', 'aesthet', 'hairstyl', 'consist', 'dango', 'like', 'bun', 'either', 'side', 'head', 'sometim', 'known', 'odango', 'dorodango', 'art', 'form', 'earth', 'water', 'mold', 'creat', 'delic', 'shini', 'sphere', 'resembl', 'billiard', 'ball', 'vietnam', 'edit', 'bánh', 'hòn', 'specialti', 'dessert', 'phan', 'thiet', 'cake', 'made', 'tapioca', 'flour', 'coconut', 'roast', 'peanut', 'salt', 'sugar', 'finish', 'roll', 'shred', 'coconut', 'skewer', 'like', 'dango', 'unicod', 'charact', 'edit', 'unicod', 'emoji', 'charact', 'use', 'resembl', 'hanami', 'dango', 'charact', 'introduc', 'octob', '2010']"
7,7,Dorayaki,"['confect', 'dorayakialtern', 'namesmikasatypewagashi', 'pancakeplac', 'originjapanmain', 'ingredientscastella', 'red', 'bean', 'past', 'sweet', 'azuki', 'bean', 'past', 'media', 'dorayaki', 'insid', 'dorayaki', 'cross', 'section', 'dorayaki', 'どら焼き', 'どらやき', '銅鑼焼き', 'ドラ焼き', 'type', 'confect', 'consist', 'two', 'small', 'pancak', 'like', 'patti', 'made', 'castella', 'wrap', 'around', 'fill', 'sweet', 'azuki', 'bean', 'past', 'origin', 'dorayaki', 'consist', 'one', 'layer', 'current', 'shape', 'invent', '1914', 'usagiya', 'ueno', 'district', 'tokyo', 'dora', 'mean', 'gong', 'similar', 'shape', 'probabl', 'origin', 'name', 'sweet', 'legend', 'first', 'dorayaki', 'made', 'samurai', 'name', 'benkei', 'forgot', 'gong', 'dora', 'upon', 'leav', 'farmer', 'home', 'hide', 'farmer', 'subsequ', 'use', 'gong', 'fri', 'pancak', 'plush', 'doraemon', 'toy', 'dorayaki', 'favorit', 'univers', 'food', 'content', 'region', 'variat', 'popular', 'cultur', 'see', 'also', 'refer', 'extern', 'link', 'region', 'variat', 'edit', 'kansai', 'area', 'sweet', 'often', 'call', 'mikasa', 'word', 'origin', 'mean', 'tripl', 'straw', 'hat', 'also', 'altern', 'name', 'mount', 'wakakusa', 'low', 'hill', 'gentl', 'slope', 'locat', 'nara', 'nara', 'larger', 'mikasa', 'diamet', 'made', 'popular', 'cultur', 'edit', 'manga', 'anim', 'charact', 'doraemon', 'love', 'dorayaki', 'depict', 'favourit', 'food', 'english', 'dub', 'nobita', 'nobi', 'call', 'yummi', 'bun', 'altern', 'plot', 'devic', 'sever', 'time', 'throughout', 'seri', 'doraemon', 'addict', 'dorayaki', 'fall', 'trap', 'involv', 'sinc', '2000', 'compani', 'bunmeido', 'sell', 'limit', 'version', 'dorayaki', 'call', 'doraemon', 'dorayaki', 'everi', 'year', 'around', 'march', 'septemb', 'sinc', '2015', 'jfc', 'intern', 'produc', 'doraemon', 'dorayaki', 'north', 'american', 'market', '2015', 'filmmak', 'naomi', 'kawas', 'releas', 'film', 'sweet', 'bean', 'base', 'novel', 'durian', 'sukegawa', 'elderli', 'woman', 'secret', 'recip', 'truli', 'transcend', 'dorayaki', 'anko']"
8,8,Gionbo,"['gionbōtypewagashiplac', 'originjapanmain', 'ingredientsgyūhi', 'bean', 'jam', 'sugar', 'gionbō', '祇園坊', 'ぎおんぼう', 'wagashi', 'sweet', 'resembl', 'dri', 'persimmon', 'made', 'fill', 'gyūhi', 'soft', 'form', 'mochi', 'bean', 'jam', 'sprinkl', 'white', 'sugar', 'time', 'sugar', 'expens', 'rariti', 'dri', 'persimmon', 'made', 'dri', 'astring', 'persimmon', 'shibugaki', 'preciou', 'sweeten', 'commonli', 'use', 'mani', 'household', 'time', 'wagashi', 'made', 'showcas', 'fine', 'fruit', 'sinc', 'becom', 'one', 'familiar', 'wagashi', 'japan']"
9,9,Gyuhi,"['gyūhiorang', 'gyuhi', 'left', 'suama', 'right', 'typewagashiplac', 'originjapanmain', 'ingredientsglutin', 'rice', 'mochiko', 'gyūhi', 'form', 'wagashi', 'tradit', 'sweet', 'gyūhi', 'softer', 'varieti', 'mochi', 'made', 'either', 'glutin', 'rice', 'mochiko', 'glutin', 'rice', 'flour', 'gyūhi', 'delic', 'usual', 'less', 'frequent', 'made', 'serv', 'mochi', 'sometim', 'featur', 'sweet', 'origin', 'kyoto', 'area', 'tint', 'gyūhi', 'base', 'matsunoyuki', 'wagashi', 'resembl', 'pine', 'tree', 'dust', 'snow', 'gyūhi', 'also', 'use', 'ingredi', 'wagashi', 'nerikiri', 'made', 'blend', 'gyūhi', 'shiroan', 'white', 'bean', 'base', 'version', 'anko', 'nerikiri', 'often', 'tint', 'mold', 'way', 'similar', 'treatment', 'marzipan', 'western', 'dessert', 'hyōroku', 'mochi', 'edit', 'hyōroku', 'mochi', 'type', 'candi', 'made', 'sold', 'seika', 'food', 'kagoshima', 'made', 'gyūhi', 'cuisin', 'relat', 'articl', 'stub', 'help', 'wikipedia', 'expand', 'vte', 'confectioneri', 'relat', 'articl', 'stub', 'help', 'wikipedia', 'expand', 'vte']"
